Animal;Comportamiento;Emocion
perro;corre hacia ti;feliz
gato;juega con la caja;emocionado
conejo;muerde zanahoria;tranquilo
pajaro;canta al sol;feliz
perro;se tumba contento;relajado
gato;persigue la luz;curioso
conejo;raspa el suelo;enojado
pajaro;escucha atentamente;alerta
perro;gira en circulos;feliz
gato;maulla suavemente;tranquilo
conejo;corre rapido;emocionado
pajaro;vuelo corto;emocionado
perro;se revuelca en la arena;feliz
gato;se oculta bajo la manta;asustado
conejo;explora el jardin;curioso
pajaro;se posa en rama alta;feliz
perro;ladra con fuerza;alerta
gato;juega con hilo;emocionado
conejo;se esconde bajo la cama;asustado
pajaro;aletea excitado;emocionado
perro;corre felizmente;feliz
gato;duerme profundamente;relajado
conejo;se acurruca tranquilo;tranquilo
pajaro;canta melodioso;feliz
perro;salta de alegria;feliz
gato;persigue sombras;curioso
conejo;explora el recinto;curioso
pajaro;bebe agua fresca;tranquilo
perro;juega con pelota;emocionado
gato;ronronea suavemente;tranquilo
conejo;huele la comida;curioso
pajaro;se balancea en la rama;emocionado
perro;gira sobre si mismo;feliz
gato;rasca el sillon;enojado
conejo;corre y se esconde;alerta
pajaro;inclina la cabeza;curioso
perro;ladra a la pelota;emocionado
gato;se acurruca;tranquilo
conejo;salta sorprendido;emocionado
pajaro;aletea alegre;emocionado
perro;se tumba en el sofa;relajado
gato;se estira tras dormir;tranquilo
conejo;raspa la madera;enojado
pajaro;canta alegre;feliz
perro;corre alrededor de la casa;feliz
gato;juega con papel;emocionado
conejo;se recuesta tranquilo;relajado
pajaro;bebe del bebedero;tranquilo
perro;ladra a la puerta;alerta
gato;se acurruca junto a la ventana;tranquilo
conejo;explora el patio;curioso
pajaro;vuela bajo;tranquilo
perro;juega con agua;feliz
gato;camina sigiloso;curioso
conejo;raspa la jaula;enojado
pajaro;canta al atardecer;feliz
perro;se revuelca en el cesped;feliz
gato;se estira en el sol;relajado
conejo;come hojas;tranquilo
pajaro;aletea suavemente;emocionado
perro;corre rapido;emocionado
gato;maulla suavemente;tranquilo
conejo;se esconde debajo de la manta;asustado
pajaro;se posa en el arbol;tranquilo
perro;salta y gira;feliz
gato;juega con hilo;emocionado
conejo;explora lentamente;curioso
pajaro;vuela entre ramas;emocionado
perro;se tumba boca arriba;relajado
gato;ronronea suave;tranquilo
conejo;corre y salta;emocionado
pajaro;bebe agua fresca;tranquilo
perro;juega con pelota;emocionado
gato;maulla bajito;tranquilo
conejo;huele alrededor;curioso
pajaro;aletea alegre;emocionado
perro;corre hacia la puerta;feliz
gato;persigue sombras;curioso
conejo;raspa el suelo;enojado
pajaro;se posa suavemente;tranquilo
perro;gira y se sienta;tranquilo
gato;se acurruca;tranquilo
conejo;explora el jardin;curioso
pajaro;canta alegre;feliz
perro;salta de alegria;feliz
gato;juega con papel;emocionado
conejo;se recuesta tranquilo;relajado
pajaro;bebe del bebedero;tranquilo

